Title,cites,year
Deep bayesian bandits showdown: An empirical comparison of bayesian deep networks for thompson sampling,73,2018
Semantic interpolation in implicit models,5,2017
Fidelity-weighted learning,29,2017
Latent space oddity: on the curvature of deep generative models,60,2017
Imitation Learning from Visual Data with Multiple Intentions.,3,2018
Hyperparameter optimization: A spectral approach,45,2017
Leveraging grammar and reinforcement learning for neural program synthesis,68,2018
Efficient sparse-winograd convolutional neural networks,58,2018
Espresso: Efficient forward propagation for binary deep neural networks,8,2018
Auto-conditioned recurrent networks for extended complex human motion synthesis,30,2017
Decoupling the Layers in Residual Networks,0,2018
Polar transformer networks,62,2017
Enhancing the reliability of out-of-distribution image detection in neural networks,268,2017
Stabilizing adversarial nets with prediction methods,38,2017
Graph attention networks,1781,2017
Minimax curriculum learning: Machine teaching with desirable difficulties and scheduled diversity,11,2018
Generalizing hamiltonian monte carlo with neural networks,42,2017
An online learning approach to generative adversarial networks,44,2017
Improving GANs using optimal transport,109,2018
The kanerva machine: A generative distributed memory,22,2018
Mixed precision training,295,2017
Latent constraints: Learning to generate conditionally from unconditional generative models,56,2017
MaskGAN: Better text generation via filling in the_,206,2018
Pruning divide & conquer networks,12,1993
Meta-learning and universality: Deep representations and gradient descent can approximate any learning algorithm,97,2017
Maximum a posteriori policy optimisation,121,2018
Meta learning shared hierarchies,155,2017
Deep neural networks as gaussian processes,277,2017
Syntax-directed variational autoencoder for structured data,106,2018
Neural-guided deductive search for real-time program synthesis from examples,50,2018
Evidence aggregation for answer re-ranking in open-domain question answering,87,2017
WRPN: wide reduced-precision networks,143,2017
MGAN: Training generative adversarial nets with multiple generators,67,2018
The reactor: A fast and sample-efficient actor-critic agent for reinforcement learning,30,2017
SEARNN: Training RNNs with global-local losses,25,2017
Distributed distributional deterministic policy gradients,164,2018
Hierarchical subtask discovery with non-negative matrix factorization,3,2017
Parametrized hierarchical procedures for neural programming,12,2018
Viterbi-based pruning for sparse matrix with fixed and high index compression ratio,12,2018
cGANs with projection discriminator,154,2018
Unsupervised representation learning by predicting image rotations,393,2018
"Emergent communication in a multi-modal, multi-step referential game",31,2017
Fastgcn: fast learning with graph convolutional networks via importance sampling,271,2018
Emergent translation in multi-agent communication,29,2017
An efficient framework for learning sentence representations,158,2018
Nervenet: Learning structured policy with graph neural networks,60,2018
Learning latent representations in neural networks for clustering through pseudo supervision and graph-based activity regularization,18,2018
Adversarial dropout regularization,66,2017
Demystifying mmd gans,188,2018
Smooth loss functions for deep top-k classification,33,2018
Deep learning as a mixed convex-combinatorial optimization problem,13,2017
Learning approximate inference networks for structured prediction,27,2018
Learning to share: Simultaneous parameter tying and sparsification in deep learning,12,2018
Model compression via distillation and quantization,174,2018
Variational message passing with structured inference networks,26,2018
Action-depedent Control Variates for Policy Optimization via Stein's Identity,36,2017
Variational image compression with a scale hyperprior,203,2018
Variational inference of disentangled latent concepts from unlabeled observations,122,2017
Flipout: Efficient pseudo-independent weight perturbations on mini-batches,55,2018
Kernel implicit variational inference,26,2017
A scalable laplace approximation for neural networks,56,2018
The high-dimensional geometry of binary neural networks,40,2017
Apprentice: Using knowledge distillation techniques to improve low-precision network accuracy,117,2017
Distributed prioritized experience replay,214,2018
Learning from between-class examples for deep sound recognition,74,2017
Training confidence-calibrated classifiers for detecting out-of-distribution samples,210,2017
Voiceloop: Voice fitting and synthesis via a phonological loop,67,2017
Large scale distributed neural network training through online distillation,107,2018
Learning differentially private recurrent language models,141,2017
Mastering the dungeon: Grounded language learning by mechanical turker descent,12,2017
Generating wikipedia by summarizing long sequences,223,2018
Unsupervised machine translation using monolingual corpora only,451,2017
A deep reinforced model for abstractive summarization,678,2017
Compressing word embeddings via deep compositional code learning,57,2017
Deep gradient compression: Reducing the communication bandwidth for distributed training,320,2017
Qanet: Combining local convolution with global self-attention for reading comprehension,385,2018
Unsupervised neural machine translation,373,2017
Learning one-hidden-layer neural networks with landscape design,135,2017
Critical points of linear neural networks: Analytical forms and landscape properties,22,2018
Learning Parametric Closed-Loop Policies for Markov Potential Games,5,2018
The power of deeper networks for expressing natural functions,73,2017
Empirical risk landscape analysis for understanding deep neural networks,6,2018
On the discrimination-generalization tradeoff in GANs,33,2017
Decision-based adversarial attacks: Reliable attacks against black-box machine learning models,319,2017
Unbiased online recurrent optimization,32,2017
Measuring the intrinsic dimension of objective landscapes,73,2018
Memorization precedes generation: Learning unsupervised gans with memory networks,15,2018
Stochastic activation pruning for robust adversarial defense,203,2018
Sparse persistent RNNs: Squeezing large recurrent networks on-chip,16,2018
GANITE: Estimation of individualized treatment effects using generative adversarial nets,44,2018
Thermometer encoding: One hot way to resist adversarial examples,185,2018
Trust-pcl: An off-policy trust region method for continuous control,60,2017
Stochastic variational video prediction,186,2017
Towards image understanding from deep compression without decoding,32,2018
Automatically Inferring Data Quality for Spatiotemporal Forecasting,0,2018
Towards better understanding of gradient-based attribution methods for deep neural networks,244,2017
Countering adversarial images using input transformations,417,2017
Skip rnn: Learning to skip state updates in recurrent neural networks,105,2017
Modular continual learning in a unified visual environment,1,2017
Twin networks: Matching the future for sequence generation,31,2017
Interpretable counting for visual question answering,29,2017
Interactive grounded language acquisition and generalization in a 2d world,34,2018
Emergent complexity via multi-agent competition,164,2017
Universal agent for disentangling environments and tasks,4,2018
Residual connections encourage iterative inference,47,2017
Emergent communication through negotiation,58,2018
Semi-parametric topological memory for navigation,97,2018
Learning to count objects in natural images for visual question answering,79,2018
i-revnet: Deep invertible networks,127,2018
Evaluating the robustness of neural networks: An extreme value theory approach,104,2018
Hexaconv,26,2018
Towards deep learning models resistant to adversarial attacks,1947,2017
Deep learning for physical processes: Incorporating prior scientific knowledge,67,2019
Communication algorithms via deep learning,103,2018
Simulating action dynamics with neural process networks,46,2017
Unsupervised cipher cracking using discrete gans,28,2018
Neural speed reading via skim-rnn,15,2017
Multi-level residual networks from dynamical systems view,71,2017
Towards neural phrase-based machine translation,58,2017
On the state of the art of evaluation in neural language models,282,2017
Memory-based parameter adaptation,42,2018
Initialization matters: Orthogonal predictive state recurrent neural networks,9,2018
Pixeldefend: Leveraging generative models to understand and defend against adversarial examples,296,2017
Certified defenses against adversarial examples,387,2018
Defense-gan: Protecting classifiers against adversarial attacks using generative models,426,2018
Ensemble adversarial training: Attacks and defenses,876,2017
Fraternal dropout,22,2017
Can recurrent neural networks warp time?,46,2018
Parallelizing linear recurrent neural nets over sequence length,11,2017
Attacking binarized neural networks,40,2017
Depthwise separable convolutions for neural machine translation,116,2017
Noisy networks for exploration,309,2017
A hierarchical model for device placement,40,2018
Deep autoencoding gaussian mixture model for unsupervised anomaly detection,184,2018
Learning discrete weights using the local reparameterization trick,34,2017
Deep rewiring: Training very sparse deep networks,45,2017
Quantitatively evaluating GANs with divergences proposed for training,44,2018
Improving GAN training via binarized representation entropy (BRE) regularization,12,2018
Generative networks as inverse problems with scattering transforms,15,2018
Critical Percolation as a Framework to Analyze the Training of Deep Networks,0,2018
On the expressive power of overlapping architectures of deep learning,15,2017
Rethinking the smaller-norm-less-informative assumption in channel pruning of convolution layers,111,2018
Diffusion convolutional recurrent neural network: Data-driven traffic forecasting,361,2017
Simulated+ unsupervised learning with adaptive data generation and bidirectional mappings,7,2018
Relational neural expectation maximization: Unsupervised discovery of objects and their interactions,97,2018
Generative models of visually grounded imagination,63,2017
Few-shot autoregressive density estimation: Towards learning to learn distributions,41,2017
Compositional obverter communication learning from raw visual input,31,2018
Scan: Learning hierarchical compositional visual concepts,41,2017
Hierarchical density order embeddings,24,2018
NaN,NaN,NaN
Emergence of grid-like representations by training recurrent neural networks to perform spatial localization,68,2018
Learning a neural response metric for retinal prosthesis,1,2017
Few-shot learning with graph neural networks,288,2017
Semantically decomposing the latent spaces of generative adversarial networks,68,2017
A framework for the quantitative evaluation of disentangled representations,76,2018
Meta-learning for semi-supervised few-shot classification,239,2018
A dirt-t approach to unsupervised domain adaptation,185,2018
Generalizing across domains via cross-gradient training,71,2018
Learning to cluster in order to transfer across domains and tasks,30,2017
Phase-aware speech enhancement with deep complex u-net,22,2018
